FID,(atom depth)-seq,Multiplicity seq, Charge seq
35, C4 0 S6 1 O2 2 O2 2 N3 2 H1 3 H1 3, 1 2 2 1 1 1, 0 0 0 0 0 0 0
36, C4 0 C4 1 O2 2 N3 2 H1 3 H1 3, 1 2 1 1 1, 0 0 0 0 0 0
37, C4 0 O2 1 N3 1 C4 2 H1 3 H1 3 H1 3 C4 2 H1 3 H1 3 H1 3, 2 1 1 1 1 1 1 1 1 1, 0 0 0 0 0 0 0 0 0 0 0
38, C4 0 H1 1 C4 1 O2 2 O2 2 H1 3, 1 1 2 1 1, 0 0 0 0 0 0
39, N3 0 H1 1 C4 1 H1 2 H1 2 C4 2 H1 3 H1 3 H1 3, 1 1 1 1 1 1 1 1, 0 0 0 0 0 0 0 0 0
40, C4 0 C4 1 F1 2 F1 2 F1 2, 1 1 1 1, 0 0 0 0 0
41, O2 0 C4 1 O2 2 N3 2 H1 3 H1 3, 1 2 1 1 1, 0 0 0 0 0 0
42, C4 0 H1 1 H1 1 C4 1 O2 2 C4 2 H1 3 H1 3 H1 3, 1 1 1 2 1 1 1 1, 0 0 0 0 0 0 0 0 0
43, C4 0 C4 1 H1 2 O2 2, 1 1 2, 0 0 0 0
44, C4 0 H1 1 N3 1 H1 2 H1 2 C4 1 O2 2 O2 2 H1 3, 1 1 1 1 1 2 1 1, 0 0 0 0 0 0 0 0 0
45, C4 0 O2 1 C4 1 H1 2 H1 2 C4 2 H1 3 H1 3 H1 3, 2 1 1 1 1 1 1 1, 0 0 0 0 0 0 0 0 0
46, C4 0 H1 1 H1 1 N3 1 C4 2 H1 3 H1 3 H1 3 C4 2 H1 3 H1 3 H1 3, 1 1 1 1 1 1 1 1 1 1 1, 0 0 0 0 0 0 0 0 0 0 0 0
47, C4 0 H1 1 C4 1 H1 2 H1 2 H1 2 C4 1 O2 2 O2 2 H1 3, 1 1 1 1 1 1 2 1 1, 0 0 0 0 0 0 0 0 0 0
48, P5 0 S2 1, 2, 0 0
49, C4 0 S2 1 C4 2 H1 3 H1 3 H1 3, 1 1 1 1 1, 0 0 0 0 0 0
50, C4 0 C4 1 H1 2 H1 2 O2 2 H1 3, 1 1 1 1 1, 0 0 0 0 0 0
51, C4 0 N3 1 O2 2 O2 2, 1 1 2, 0 1 -1 0
52, C4 0 O2 1 C4 1 H1 2 H1 2 O2 2 H1 3, 2 1 1 1 1 1, 0 0 0 0 0 0 0
53, C4 0 C4 1 N3 2, 1 3, 0 0 0
54, C4 0 H1 1 C4 1 H1 2 H1 2 O2 2 H1 3, 1 1 1 1 1 1, 0 0 0 0 0 0 0
55, C4 0 H1 1 H1 1 C4 1 H1 2 H1 2 Cl1 2, 1 1 1 1 1 1, 0 0 0 0 0 0 0
56, C4 0 O2 1 N3 1 H1 2 C4 2 H1 3 H1 3 H1 3, 2 1 1 1 1 1 1, 0 0 0 0 0 0 0 0
57, C4 0 H1 1 H1 1 O2 1 C4 2 H1 3 H1 3 H1 3, 1 1 1 1 1 1 1, 0 0 0 0 0 0 0 0
58, C4 0 H1 1 N3 1 C4 2 H1 3 H1 3 H1 3 C4 2 H1 3 H1 3 H1 3, 1 1 1 1 1 1 1 1 1 1, 0 0 0 0 0 0 0 0 0 0 0
59, O2 0 C4 1 H1 2 C4 2 H1 3 H1 3 H1 3 C4 2 H1 3 H1 3 H1 3, 1 1 1 1 1 1 1 1 1 1, 0 0 0 0 0 0 0 0 0 0 0
60, C4 0 C4 1 O2 2 C4 2 H1 3 H1 3 H1 3, 1 2 1 1 1 1, 0 0 0 0 0 0 0
61, C4 0 C4 1 C4 2 H1 3 H1 3 H1 3 C4 2 H1 3 H1 3 H1 3 C4 2 H1 3 H1 3 H1 3, 1 1 1 1 1 1 1 1 1 1 1 1 1, 0 0 0 0 0 0 0 0 0 0 0 0 0 0
62, C4 0 H1 1 H1 1 C4 1 H1 2 O2 2, 1 1 1 1 2, 0 0 0 0 0 0
63, C4 0 H1 1 C4 1 H1 2 H1 2 H1 2 C4 1 H1 2 H1 2 H1 2, 1 1 1 1 1 1 1 1 1, 0 0 0 0 0 0 0 0 0 0
64, C4 0 N3 1 C4 2 H1 3 H1 3 H1 3 C4 2 H1 3 H1 3 H1 3, 1 1 1 1 1 1 1 1 1, 0 0 0 0 0 0 0 0 0 0
65, C4 0 H1 1 C4 1 H1 2 C4 2 H1 3 H1 3, 1 1 1 2 1 1, 0 0 0 0 0 0 0
66, C4 0 H1 1 H1 1 C4 1 H1 2 H1 2 H1 2, 1 1 1 1 1 1, 0 0 0 0 0 0 0
67, C4 0 O2 1 C4 1 H1 2 H1 2 Cl1 2, 2 1 1 1 1, 0 0 0 0 0 0
68, C4 0 H1 1 H1 1 C4 1 C4 2 H1 3, 1 1 1 3 1, 0 0 0 0 0 0
69, C4 0 H1 1 O2 1 H1 2 C4 1 H1 2 H1 2 O2 2 H1 3, 1 1 1 1 1 1 1 1, 0 0 0 0 0 0 0 0 0
70, C4 0 H1 1 Cl1 1 C4 1 H1 2 H1 2 H1 2, 1 1 1 1 1 1, 0 0 0 0 0 0 0
71, C4 0 C4 1 H1 2 C4 2 H1 3 H1 3 H1 3 C4 2 H1 3 H1 3 H1 3, 1 1 1 1 1 1 1 1 1 1, 0 0 0 0 0 0 0 0 0 0 0
72, N3 0 H1 1 C4 1 C4 2 H1 3 H1 3 H1 3 C4 2 H1 3 H1 3 H1 3 C4 2 H1 3 H1 3 H1 3, 1 1 1 1 1 1 1 1 1 1 1 1 1 1, 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
73, C4 0 C4 1 H1 2 H1 2 H1 2 C4 1 H1 2 H1 2 H1 2, 1 1 1 1 1 1 1 1, 0 0 0 0 0 0 0 0 0
74, C4 0 H1 1 C4 1 H1 2 C4 2 H1 3 H1 3 H1 3, 1 2 1 1 1 1 1, 0 0 0 0 0 0 0 0
75, C4 0 O2 1 C4 1 H1 2 C4 2 H1 3 H1 3, 2 1 1 2 1 1, 0 0 0 0 0 0 0
76, N3 0 H1 1 C4 1 H1 2 O2 2, 1 1 1 2, 0 0 0 0 0
77, C4 0 C4 1 H1 2 H1 2 H1 2 C4 1 H1 2 H1 2 H1 2 C4 1 H1 2 H1 2 H1 2, 1 1 1 1 1 1 1 1 1 1 1 1, 0 0 0 0 0 0 0 0 0 0 0 0 0
78, C4 0 H1 1 H1 1 C4 1 H1 2 H1 2 N3 2 H1 3 H1 3, 1 1 1 1 1 1 1 1, 0 0 0 0 0 0 0 0 0
79, C4 0 O2 1 H1 2 C4 1 H1 2 H1 2 H1 2, 1 1 1 1 1 1, 0 0 0 0 0 0 0
80, C4 0 H1 1 H1 1 C4 1 H1 2 H1 2 Br1 2, 1 1 1 1 1 1, 0 0 0 0 0 0 0
81, C4 0 Cl1 1 Cl1 1, 1 1, 0 0 0
82, C4 0 H1 1 C4 1 H1 2 H1 2 C4 2 H1 3 H1 3 H1 3, 1 1 1 1 1 1 1 1, 0 0 0 0 0 0 0 0 0
83, C4 0 C4 1 H1 2 H1 2 Cl1 2, 1 1 1 1, 0 0 0 0 0
84, N3 0 H1 1 C4 1 H1 2 C4 2 H1 3 H1 3 H1 3 C4 2 H1 3 H1 3 H1 3, 1 1 1 1 1 1 1 1 1 1 1, 0 0 0 0 0 0 0 0 0 0 0 0
85, C4 0 H1 1 H1 1 C4 1 H1 2 O2 2 H1 3 C4 2 H1 3 H1 3 H1 3, 1 1 1 1 1 1 1 1 1 1, 0 0 0 0 0 0 0 0 0 0 0
86, C4 0 H1 1 H1 1 C4 1 O2 2 H1 3 C4 2 H1 3 H1 3 H1 3 C4 2 H1 3 H1 3 H1 3, 1 1 1 1 1 1 1 1 1 1 1 1 1, 0 0 0 0 0 0 0 0 0 0 0 0 0 0
87, C4 0 H1 1 C4 1 H1 2 H1 2 O2 2 H1 3 C4 1 H1 2 H1 2 C4 2 H1 3 H1 3 H1 3, 1 1 1 1 1 1 1 1 1 1 1 1 1, 0 0 0 0 0 0 0 0 0 0 0 0 0 0
88, C4 0 O2 1 N3 1 H1 2 N3 2 H1 3 H1 3, 2 1 1 1 1 1, 0 0 0 0 0 0 0
89, C4 0 O2 1 C4 1 H1 2 H1 2 H1 2, 2 1 1 1 1, 0 0 0 0 0 0
90, C4 0 H1 1 C4 1 H1 2 Cl1 2 Cl1 2, 1 1 1 1 1, 0 0 0 0 0 0
91, P5 0 O2 1 C4 2 H1 3 H1 3 H1 3 O2 1 C4 2 H1 3 H1 3 H1 3 S2 1, 1 1 1 1 1 1 1 1 1 1 2, 0 0 0 0 0 0 0 0 0 0 0 0
92, C4 0 C4 1 H1 2 C4 2 H1 3 H1 3 H1 3, 2 1 1 1 1 1, 0 0 0 0 0 0 0
93, C4 0 O2 1 H1 2 C4 1 C4 2 H1 3, 1 1 1 3 1, 0 0 0 0 0 0
94, C4 0 H1 1 C4 1 Cl1 2 Cl1 2 Cl1 2, 1 1 1 1 1, 0 0 0 0 0 0
95, C4 0 C4 1 Cl1 2 Cl1 2, 2 1 1, 0 0 0 0
96, C4 0 O2 1 H1 2 C4 1 O2 2 C4 2 H1 3 H1 3 H1 3, 1 1 1 2 1 1 1 1, 0 0 0 0 0 0 0 0 0
97, C4 0 C4 1 H1 2 H1 2 H1 2 C4 1 H1 2 H1 2 H1 2 C4 1 H1 2 H1 2 C4 2 H1 3 H1 3 H1 3, 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1, 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
98, N3 0 N3 1 O2 2, 1 2, 0 0 0
99, C4 0 H1 1 N3 1 H1 2 H1 2, 1 1 1 1, 0 0 0 0 0
100, N3 0 C4 1 H1 2 C4 2 H1 3 H1 3 H1 3 C4 2 H1 3 H1 3 H1 3, 1 1 1 1 1 1 1 1 1 1, 0 0 0 0 0 0 0 0 0 0 0
101, C4 0 H1 1 C4 1 C4 2 H1 3 H1 3 C4 2 H1 3 H1 3 H1 3, 1 1 2 1 1 1 1 1 1, 0 0 0 0 0 0 0 0 0 0
102, N3 0 C4 1 O2 2 C4 2 H1 3 H1 3 H1 3, 1 2 1 1 1 1, 0 0 0 0 0 0 0
103, C4 0 H1 1 H1 1 C4 1 O2 2 N3 2 H1 3 H1 3, 1 1 1 2 1 1 1, 0 0 0 0 0 0 0 0
104, C4 0 O2 1 H1 2 C4 1 H1 2 H1 2 H1 2 C4 1 H1 2 H1 2 H1 2, 1 1 1 1 1 1 1 1 1 1, 0 0 0 0 0 0 0 0 0 0 0
105, C4 0 H1 1 H1 1 S2 1 C4 2 H1 3 H1 3 H1 3, 1 1 1 1 1 1 1, 0 0 0 0 0 0 0 0
106, C4 0 O2 1 C4 1 H1 2 Cl1 2 Cl1 2, 2 1 1 1 1, 0 0 0 0 0 0
107, C4 0 H1 1 H1 1 C4 1 C4 2 H1 3 H1 3 H1 3 C4 2 H1 3 H1 3 H1 3 C4 2 H1 3 H1 3 H1 3, 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1, 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
108, S4 0 O2 1, 2, 0 0
109, C4 0 C4 1 H1 2 H1 2 C4 2 H1 3 H1 3 H1 3 C4 1 H1 2 H1 2 C4 2 H1 3 H1 3 H1 3, 1 1 1 1 1 1 1 1 1 1 1 1 1 1, 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
110, C4 0 H1 1 O2 1 H1 2 C4 1 H1 2 H1 2 H1 2, 1 1 1 1 1 1 1, 0 0 0 0 0 0 0 0
111, C4 0 O2 1 C4 1 C4 2 H1 3 H1 3 H1 3 C4 2 H1 3 H1 3 H1 3 C4 2 H1 3 H1 3 H1 3, 2 1 1 1 1 1 1 1 1 1 1 1 1 1, 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
112, N3 0 O2 1 C4 2 H1 3 H1 3 H1 3 C4 1 H1 2 H1 2 H1 2, 1 1 1 1 1 1 1 1 1, 0 0 0 0 0 0 0 0 0 0
113, C4 0 H1 1 C4 1 C4 2 H1 3 H1 3 H1 3 C4 2 H1 3 H1 3 H1 3, 1 2 1 1 1 1 1 1 1 1, 0 0 0 0 0 0 0 0 0 0 0
114, C4 0 O2 1 O2 1 H1 2, 2 1 1, 0 0 0 0
115, C4 0 H1 1 N3 1 O2 2 H1 3, 1 2 1 1, 0 0 0 0 0
116, S6 0 O2 1 O2 1 C4 1 F1 2 F1 2 F1 2, 2 2 1 1 1 1, 0 0 0 0 0 0 0
117, C4 0 H1 1 C4 1 H1 2 H1 2 H1 2 C4 1 H1 2 H1 2 O2 2 H1 3 C4 1 H1 2 C4 2 H1 3 H1 3 H1 3 C4 2 H1 3 H1 3 H1 3, 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1, 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
118, C4 0 H1 1 O2 1 H1 2 C4 1 H1 2 H1 2 N3 2 H1 3 H1 3, 1 1 1 1 1 1 1 1 1, 0 0 0 0 0 0 0 0 0 0
119, C4 0 H1 1 C4 1 H1 2 H1 2 C4 2 H1 3 H1 3 H1 3 C4 1 H1 2 C4 2 H1 3 H1 3 H1 3, 1 1 1 1 1 1 1 1 2 1 1 1 1 1, 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
120, O2 0 C4 1 H1 2 C4 2 H1 3 H1 3 H1 3 C4 2 H1 3 H1 3 H1 3 C4 1 H1 2 C4 2 H1 3 H1 3 H1 3 C4 2 H1 3 H1 3 H1 3, 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1, 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
121, C4 0 S4 1 O2 2 C4 2 H1 3 H1 3 H1 3, 1 2 1 1 1 1, 0 0 0 0 0 0 0
122, N3 0 H1 1 C4 1 S2 2 N3 2 H1 3 H1 3, 1 1 2 1 1 1, 0 0 0 0 0 0 0
123, O2 0 S6 1 O2 2 O2 2 C4 2 H1 3 H1 3 H1 3, 1 2 2 1 1 1 1, 0 0 0 0 0 0 0 0
124, C4 0 C4 1 H1 2 H1 2, 2 1 1, 0 0 0 0
125, C4 0 H1 1 H1 1 C4 1 H1 2 H1 2 C4 2 H1 3 H1 3 H1 3 C4 1 H1 2 H1 2 C4 2 H1 3 H1 3 H1 3, 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1, 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
126, N3 0 H1 1 C4 1 O2 2 N3 2 H1 3 H1 3, 1 1 2 1 1 1, 0 0 0 0 0 0 0
127, C4 0 H1 1 H1 1 N3 1 H1 2 C4 2 H1 3 H1 3 H1 3, 1 1 1 1 1 1 1 1, 0 0 0 0 0 0 0 0 0
128, C4 0 H1 1 C4 1 H1 2 H1 2 O2 2 H1 3 C4 1 H1 2 H1 2 C4 2 H1 3 H1 3 H1 3 C4 1 H1 2 H1 2 C4 2 H1 3 H1 3 H1 3, 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1, 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
129, C4 0 O2 1 H1 2 C4 1 H1 2 H1 2 H1 2 C4 1 H1 2 H1 2 C4 2 H1 3 H1 3 H1 3 C4 1 H1 2 H1 2 C4 2 H1 3 H1 3 H1 3, 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1, 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
130, C4 0 H1 1 H1 1 C4 1 H1 2 C4 2 H1 3 H1 3 H1 3 C4 2 H1 3 H1 3 H1 3 C4 1 O2 2 H1 3 C4 2 H1 3 H1 3 H1 3 C4 2 H1 3 H1 3 H1 3, 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1, 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
131, O2 0 C4 1 H1 2 O2 2, 1 1 2, 0 0 0 0
132, C4 0 H1 1 H1 1 O2 1 C4 2 H1 3 H1 3 H1 3 C4 1 H1 2 H1 2 C4 2 H1 3 H1 3 H1 3, 1 1 1 1 1 1 1 1 1 1 1 1 1 1, 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
133, C4 0 H1 1 H1 1 C4 1 N3 2, 1 1 1 3, 0 0 0 0 0
134, C4 0 O2 1 O2 1 C4 2 H1 3 H1 3 H1 3 C4 1 H1 2 C4 2 H1 3 H1 3, 2 1 1 1 1 1 1 1 2 1 1, 0 0 0 0 0 0 0 0 0 0 0 0
135, S2 0 C4 1 H1 2 H1 2 C4 2 H1 3 H1 3 H1 3, 1 1 1 1 1 1 1, 0 0 0 0 0 0 0 0
136, C4 0 O2 1 H1 2 C4 1 H1 2 H1 2 O2 2 H1 3, 1 1 1 1 1 1 1, 0 0 0 0 0 0 0 0
137, C4 0 H1 1 N3 1 H1 2 C4 2 H1 3 H1 3 H1 3 C4 1 H1 2 H1 2 H1 2, 1 1 1 1 1 1 1 1 1 1 1, 0 0 0 0 0 0 0 0 0 0 0 0
138, C4 0 H1 1 H1 1 C4 1 Cl1 2 C4 2 H1 3 H1 3, 1 1 1 1 2 1 1, 0 0 0 0 0 0 0 0
139, C4 0 C4 1 H1 2 H1 2 C4 1 O2 2 O2 2 H1 3, 2 1 1 1 2 1 1, 0 0 0 0 0 0 0 0
140, C4 0 H1 1 H1 1 C4 1 H1 2 H1 2 I1 2, 1 1 1 1 1 1, 0 0 0 0 0 0 0
141, C4 0 C4 1 H1 2 H1 2 H1 2 C4 1 O2 2 O2 2 H1 3, 1 1 1 1 1 2 1 1, 0 0 0 0 0 0 0 0 0
142, C4 0 Cl1 1 C4 1 H1 2 Cl1 2, 1 2 1 1, 0 0 0 0 0
143, C4 0 H1 1 H1 1 C4 1 H1 2 H1 2 C4 2 H1 3 H1 3 H1 3 C4 1 O2 2 O2 2 H1 3, 1 1 1 1 1 1 1 1 1 1 2 1 1, 0 0 0 0 0 0 0 0 0 0 0 0 0 0
144, C4 0 O2 1 H1 2 C4 1 H1 2 H1 2 C4 2 H1 3 H1 3 H1 3 C4 1 H1 2 H1 2 C4 2 H1 3 H1 3 H1 3 C4 1 H1 2 H1 2 C4 2 H1 3 H1 3 H1 3, 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1, 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
145, C4 0 H1 1 H1 1 C4 1 H1 2 N3 2 H1 3 H1 3 C4 2 H1 3 H1 3 H1 3 C4 1 O2 2 O2 2 H1 3, 1 1 1 1 1 1 1 1 1 1 1 1 2 1 1, 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
146, N3 0 H1 1 N3 1 C4 2 H1 3 H1 3 H1 3 C4 2 H1 3 H1 3 H1 3, 1 1 1 1 1 1 1 1 1 1, 0 0 0 0 0 0 0 0 0 0 0
147, N3 0 C4 1 H1 2 H1 2 C4 2 H1 3 H1 3 H1 3 C4 1 H1 2 H1 2 C4 2 H1 3 H1 3 H1 3 C4 1 H1 2 H1 2 C4 2 H1 3 H1 3 H1 3, 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1, 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
148, C4 0 H1 1 N3 1 H1 2 H1 2 C4 1 H1 2 O2 2 H1 3 C4 2 H1 3 H1 3 H1 3 C4 1 O2 2 O2 2 H1 3, 1 1 1 1 1 1 1 1 1 1 1 1 1 2 1 1, 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
149, O2 0 C4 1 H1 2 H1 2 C4 2 H1 3 H1 3 H1 3 C4 1 H1 2 H1 2 C4 2 H1 3 H1 3 H1 3, 1 1 1 1 1 1 1 1 1 1 1 1 1 1, 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
150, C4 0 C4 1 H1 2 H1 2 C4 2 H1 3 H1 3 H1 3 C4 1 H1 2 C4 2 H1 3 H1 3 H1 3 C4 2 H1 3 H1 3 H1 3, 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1, 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
151, C4 0 H1 1 H1 1 C4 1 H1 2 H1 2 C4 2 H1 3 H1 3 H1 3 C4 1 H1 2 Cl1 2 Cl1 2, 1 1 1 1 1 1 1 1 1 1 1 1 1, 0 0 0 0 0 0 0 0 0 0 0 0 0 0
152, N3 0 C4 1 H1 2 C4 2 H1 3 H1 3 H1 3 C4 2 H1 3 H1 3 H1 3 C4 1 H1 2 C4 2 H1 3 H1 3 H1 3 C4 2 H1 3 H1 3 H1 3, 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1, 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
153, C4 0 H1 1 C4 1 H1 2 H1 2 Cl1 2, 1 1 1 1 1, 0 0 0 0 0 0
154, N3 0 C4 1 H1 2 H1 2 H1 2 C4 1 H1 2 H1 2 H1 2, 1 1 1 1 1 1 1 1, 0 0 0 0 0 0 0 0 0
155, C4 0 H1 1 C4 1 H1 2 H1 2 N3 2 H1 3 H1 3, 1 1 1 1 1 1 1, 0 0 0 0 0 0 0 0
156, C4 0 O2 1 H1 2 C4 1 H1 2 H1 2 H1 2 C4 1 H1 2 H1 2 C4 2 H1 3 H1 3 H1 3, 1 1 1 1 1 1 1 1 1 1 1 1 1, 0 0 0 0 0 0 0 0 0 0 0 0 0 0
157, C4 0 C4 1 H1 2 H1 2 N3 2 H1 3 H1 3, 1 1 1 1 1 1, 0 0 0 0 0 0 0
158, C4 0 H1 1 H1 1 O2 1 H1 2, 1 1 1 1, 0 0 0 0 0
159, C4 0 H1 1 H1 1 C4 1 H1 2 H1 2 Br1 2 C4 1 H1 2 C4 2 H1 3 H1 3 H1 3 C4 2 H1 3 H1 3 H1 3, 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1, 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
160, C4 0 C4 1 H1 2 O2 2 H1 3 C4 2 H1 3 H1 3 H1 3, 1 1 1 1 1 1 1 1, 0 0 0 0 0 0 0 0 0
161, N3 0 C4 1 C4 2 H1 3 H1 3 H1 3 C4 2 H1 3 H1 3 H1 3 C4 2 H1 3 H1 3 H1 3, 1 1 1 1 1 1 1 1 1 1 1 1 1, 0 0 0 0 0 0 0 0 0 0 0 0 0 0
162, O2 0 C4 1 H1 2 H1 2 C4 2 H1 3 H1 3 H1 3 C4 1 H1 2 C4 2 H1 3 H1 3, 1 1 1 1 1 1 1 1 1 2 1 1, 0 0 0 0 0 0 0 0 0 0 0 0 0
163, C4 0 C4 1 H1 2 H1 2 H1 2 C4 1 H1 2 H1 2 H1 2 C4 1 N3 2, 1 1 1 1 1 1 1 1 1 3, 0 0 0 0 0 0 0 0 0 0 0
164, S6 0 O2 1 O2 1 N3 1 C4 2 H1 3 H1 3 H1 3 C4 2 H1 3 H1 3 H1 3, 2 2 1 1 1 1 1 1 1 1 1, 0 0 0 0 0 0 0 0 0 0 0 0
165, S6 0 O2 1 O2 1 C4 1 H1 2 H1 2 C4 2 H1 3 H1 3 H1 3 C4 1 H1 2 H1 2 C4 2 H1 3 H1 3 H1 3, 2 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1, 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
166, C4 0 H1 1 H1 1 C4 1 H1 2 H1 2 Br1 2 C4 1 H1 2 H1 2 C4 2 H1 3 H1 3 H1 3, 1 1 1 1 1 1 1 1 1 1 1 1 1, 0 0 0 0 0 0 0 0 0 0 0 0 0 0
167, C4 0 H1 1 H1 1 C4 1 H1 2 H1 2 C4 2 H1 3 H1 3 H1 3 C4 1 H1 2 C4 2 H1 3 H1 3 H1 3 C4 2 H1 3 H1 3 H1 3, 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1, 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
168, C4 0 H1 1 H1 1 C4 1 H1 2 H1 2 C4 2 H1 3 H1 3 H1 3 C4 1 H1 2 O2 2, 1 1 1 1 1 1 1 1 1 1 1 2, 0 0 0 0 0 0 0 0 0 0 0 0 0
169, C4 0 Cl1 1 Cl1 1 C4 1 H1 2 Cl1 2 Cl1 2, 1 1 1 1 1 1, 0 0 0 0 0 0 0
